# 5%

step 0: train loss 4.1861, val loss 4.1881
step 0: train loss (forward only) 4.1876, val loss (forward only) 4.1891
step 0: train loss (backward only) 4.1770, val loss (backward only) 4.1776
iter 457: loss 1.9685, time 144.24ms, mfu 0.23%
iter 458: loss 2.0153, time 147.11ms, mfu 0.23%
iter 459: loss 2.0198, time 145.94ms, mfu 0.23%
iter 460: loss 1.9853, time 149.09ms, mfu 0.23%
iter 461: loss 2.0069, time 145.71ms, mfu 0.23%
iter 462: loss 1.9944, time 148.02ms, mfu 0.23%
iter 463: loss 2.0233, time 144.84ms, mfu 0.23%
iter 464: loss 2.0234, time 152.73ms, mfu 0.23%
iter 465: loss 2.0169, time 151.81ms, mfu 0.23%
iter 466: loss 1.9877, time 148.00ms, mfu 0.23%
iter 467: loss 2.0043, time 151.53ms, mfu 0.23%
iter 468: loss 2.0459, time 145.40ms, mfu 0.23%
iter 469: loss 2.0026, time 152.62ms, mfu 0.22%
iter 470: loss 2.0004, time 143.23ms, mfu 0.23%
iter 471: loss 2.0315, time 148.90ms, mfu 0.23%
iter 472: loss 1.9974, time 153.08ms, mfu 0.22%
iter 473: loss 1.9688, time 149.76ms, mfu 0.22%
iter 474: loss 1.9702, time 147.11ms, mfu 0.22%
iter 475: loss 2.0165, time 166.87ms, mfu 0.22%
iter 476: loss 2.0032, time 170.78ms, mfu 0.22%
iter 477: loss 1.9804, time 119.11ms, mfu 0.23%
iter 478: loss 2.0182, time 143.85ms, mfu 0.23%
iter 479: loss 1.9627, time 148.27ms, mfu 0.23%
iter 480: loss 1.9499, time 147.61ms, mfu 0.23%
iter 481: loss 1.9939, time 144.43ms, mfu 0.23%
iter 482: loss 1.9645, time 145.69ms, mfu 0.23%
iter 483: loss 1.9725, time 145.31ms, mfu 0.23%
iter 484: loss 1.9714, time 146.22ms, mfu 0.23%
iter 485: loss 2.0035, time 147.55ms, mfu 0.23%
iter 486: loss 1.9653, time 145.92ms, mfu 0.23%
iter 487: loss 1.9664, time 146.58ms, mfu 0.23%
iter 488: loss 1.9739, time 146.94ms, mfu 0.23%
iter 489: loss 1.9733, time 148.41ms, mfu 0.23%
iter 490: loss 1.9158, time 145.00ms, mfu 0.23%
iter 491: loss 1.9586, time 146.25ms, mfu 0.23%
iter 492: loss 1.9467, time 148.56ms, mfu 0.23%
iter 493: loss 1.9382, time 147.29ms, mfu 0.23%
iter 494: loss 1.9622, time 144.87ms, mfu 0.23%
iter 495: loss 1.9622, time 148.12ms, mfu 0.23%
iter 496: loss 1.9589, time 147.69ms, mfu 0.23%
iter 497: loss 2.0036, time 145.47ms, mfu 0.23%
iter 498: loss 1.9147, time 145.96ms, mfu 0.23%
iter 499: loss 1.9131, time 148.96ms, mfu 0.23%
step 500: train loss 1.9463, val loss 2.0371
step 500: train loss (forward only) 1.9202, val loss (forward only) 2.0111
step 500: train loss (backward only) 2.4431, val loss (backward only) 2.4490
saving checkpoint to out-shakespeare-char
iter 500: loss 1.9452, time 11893.54ms, mfu 0.20%
iter 501: loss 1.9247, time 137.91ms, mfu 0.21%
iter 502: loss 1.9299, time 145.92ms, mfu 0.21%
iter 503: loss 1.9074, time 147.87ms, mfu 0.21%
iter 504: loss 1.8996, time 147.57ms, mfu 0.21%
iter 505: loss 1.9141, time 144.23ms, mfu 0.21%
iter 506: loss 1.9066, time 145.82ms, mfu 0.22%
iter 507: loss 1.9167, time 148.86ms, mfu 0.22%
iter 508: loss 1.9485, time 146.60ms, mfu 0.22%
iter 509: loss 1.9000, time 146.34ms, mfu 0.22%
iter 510: loss 1.9119, time 145.93ms, mfu 0.22%
iter 511: loss 1.9089, time 147.50ms, mfu 0.22%
iter 512: loss 1.8982, time 146.65ms, mfu 0.22%
iter 513: loss 1.9734, time 146.39ms, mfu 0.22%
iter 514: loss 1.9235, time 148.89ms, mfu 0.22%
iter 515: loss 1.9205, time 145.78ms, mfu 0.22%
iter 516: loss 1.9061, time 151.59ms, mfu 0.22%
iter 517: loss 1.9425, time 157.19ms, mfu 0.22%
iter 518: loss 1.9128, time 145.84ms, mfu 0.22%
iter 519: loss 1.9001, time 145.12ms, mfu 0.22%
iter 520: loss 1.9413, time 145.27ms, mfu 0.22%
iter 521: loss 1.8989, time 148.03ms, mfu 0.22%
iter 522: loss 1.9075, time 145.34ms, mfu 0.22%
iter 523: loss 1.8929, time 145.69ms, mfu 0.22%
iter 524: loss 1.9129, time 147.64ms, mfu 0.22%
iter 525: loss 1.8994, time 146.38ms, mfu 0.23%
iter 526: loss 1.8931, time 149.06ms, mfu 0.23%
iter 527: loss 1.8868, time 144.80ms, mfu 0.23%
iter 528: loss 1.9138, time 148.60ms, mfu 0.23%
iter 529: loss 1.9071, time 147.10ms, mfu 0.23%
iter 530: loss 1.8938, time 145.87ms, mfu 0.23%
iter 531: loss 1.9172, time 147.07ms, mfu 0.23%
iter 532: loss 1.9074, time 145.63ms, mfu 0.23%
iter 533: loss 1.8806, time 145.15ms, mfu 0.23%
iter 534: loss 1.8627, time 147.25ms, mfu 0.23%
iter 535: loss 1.9000, time 146.24ms, mfu 0.23%
iter 536: loss 1.8773, time 147.74ms, mfu 0.23%
iter 537: loss 1.8658, time 146.51ms, mfu 0.23%
iter 538: loss 1.9050, time 148.46ms, mfu 0.23%
iter 539: loss 1.9086, time 149.64ms, mfu 0.23%
iter 540: loss 1.8500, time 159.58ms, mfu 0.22%
iter 541: loss 1.8627, time 167.50ms, mfu 0.22%
iter 542: loss 1.8742, time 133.38ms, mfu 0.22%
iter 543: loss 1.8529, time 144.83ms, mfu 0.23%
iter 544: loss 1.8763, time 145.11ms, mfu 0.23%
iter 545: loss 1.8629, time 146.33ms, mfu 0.23%
iter 546: loss 1.8644, time 146.12ms, mfu 0.23%
iter 547: loss 1.8777, time 146.73ms, mfu 0.23%
iter 548: loss 1.8719, time 148.02ms, mfu 0.23%
iter 549: loss 1.8426, time 147.39ms, mfu 0.23%
iter 550: loss 1.8786, time 143.80ms, mfu 0.23%
iter 551: loss 1.8740, time 146.36ms, mfu 0.23%
iter 552: loss 1.8557, time 150.05ms, mfu 0.23%
iter 553: loss 1.8617, time 143.66ms, mfu 0.23%
iter 554: loss 1.8531, time 145.77ms, mfu 0.23%
iter 555: loss 1.8531, time 148.52ms, mfu 0.23%
iter 556: loss 1.8423, time 144.91ms, mfu 0.23%
iter 557: loss 1.8379, time 147.13ms, mfu 0.23%
iter 558: loss 1.8758, time 145.47ms, mfu 0.23%
iter 559: loss 1.8167, time 145.57ms, mfu 0.23%
iter 560: loss 1.8528, time 146.01ms, mfu 0.23%
iter 561: loss 1.8446, time 145.19ms, mfu 0.23%
iter 562: loss 1.8675, time 148.61ms, mfu 0.23%
iter 563: loss 1.8712, time 144.24ms, mfu 0.23%
iter 564: loss 1.8072, time 146.63ms, mfu 0.23%
iter 565: loss 1.8753, time 148.83ms, mfu 0.23%
iter 566: loss 1.8595, time 144.28ms, mfu 0.23%
iter 567: loss 1.8461, time 146.99ms, mfu 0.23%
iter 568: loss 1.8356, time 145.74ms, mfu 0.23%
iter 569: loss 1.8480, time 146.75ms, mfu 0.23%
iter 570: loss 1.8496, time 148.61ms, mfu 0.23%
iter 571: loss 1.8139, time 144.96ms, mfu 0.23%
iter 572: loss 1.8668, time 148.08ms, mfu 0.23%
iter 573: loss 1.8160, time 144.21ms, mfu 0.23%
iter 574: loss 1.8465, time 145.56ms, mfu 0.23%
iter 575: loss 1.8338, time 145.64ms, mfu 0.23%
iter 576: loss 1.8512, time 147.30ms, mfu 0.23%
iter 577: loss 1.7994, time 145.76ms, mfu 0.23%
iter 578: loss 1.8422, time 148.97ms, mfu 0.23%
iter 579: loss 1.8296, time 144.69ms, mfu 0.23%
iter 580: loss 1.8558, time 158.68ms, mfu 0.23%
iter 581: loss 1.8420, time 140.38ms, mfu 0.23%
iter 582: loss 1.8263, time 158.30ms, mfu 0.23%
iter 583: loss 1.8107, time 154.41ms, mfu 0.22%
iter 584: loss 1.7796, time 147.28ms, mfu 0.22%
iter 585: loss 1.8373, time 145.51ms, mfu 0.23%
iter 586: loss 1.8388, time 156.63ms, mfu 0.22%
iter 587: loss 1.8318, time 143.05ms, mfu 0.22%
iter 588: loss 1.8501, time 149.36ms, mfu 0.22%
iter 589: loss 1.8349, time 144.79ms, mfu 0.23%
iter 590: loss 1.7904, time 147.87ms, mfu 0.23%
iter 591: loss 1.8549, time 144.28ms, mfu 0.23%
iter 592: loss 1.8358, time 148.99ms, mfu 0.23%
iter 593: loss 1.8107, time 145.36ms, mfu 0.23%
iter 594: loss 1.8680, time 152.56ms, mfu 0.23%
iter 595: loss 1.8387, time 144.01ms, mfu 0.23%
iter 596: loss 1.8111, time 146.33ms, mfu 0.23%
iter 597: loss 1.7875, time 147.32ms, mfu 0.23%
iter 598: loss 1.7899, time 146.84ms, mfu 0.23%
iter 599: loss 1.7778, time 147.62ms, mfu 0.23%
iter 600: loss 1.7999, time 145.81ms, mfu 0.23%
iter 601: loss 1.7735, time 154.62ms, mfu 0.23%
iter 602: loss 1.8162, time 143.87ms, mfu 0.23%
iter 603: loss 1.7817, time 149.22ms, mfu 0.23%
iter 604: loss 1.7750, time 145.77ms, mfu 0.23%
iter 605: loss 1.7630, time 146.22ms, mfu 0.23%
iter 606: loss 1.7834, time 151.20ms, mfu 0.23%
iter 607: loss 1.8320, time 144.08ms, mfu 0.23%
iter 608: loss 1.7852, time 145.98ms, mfu 0.23%
iter 609: loss 1.7585, time 146.06ms, mfu 0.23%
iter 610: loss 1.7882, time 179.24ms, mfu 0.22%
iter 611: loss 1.8138, time 139.91ms, mfu 0.22%
iter 612: loss 1.8075, time 149.70ms, mfu 0.22%
iter 613: loss 1.7893, time 147.72ms, mfu 0.22%
iter 614: loss 1.7839, time 145.69ms, mfu 0.22%
iter 615: loss 1.7874, time 154.07ms, mfu 0.22%
iter 616: loss 1.7830, time 149.17ms, mfu 0.22%
iter 617: loss 1.7730, time 147.58ms, mfu 0.22%
iter 618: loss 1.8114, time 146.73ms, mfu 0.22%
iter 619: loss 1.7443, time 152.29ms, mfu 0.22%
iter 620: loss 1.7776, time 143.30ms, mfu 0.22%
iter 621: loss 1.7623, time 146.64ms, mfu 0.22%
iter 622: loss 1.8238, time 144.26ms, mfu 0.23%
iter 623: loss 1.7790, time 146.94ms, mfu 0.23%
iter 624: loss 1.8097, time 147.98ms, mfu 0.23%
iter 625: loss 1.7917, time 146.27ms, mfu 0.23%
iter 626: loss 1.7692, time 149.14ms, mfu 0.23%
iter 627: loss 1.7654, time 150.62ms, mfu 0.23%
iter 628: loss 1.7540, time 151.47ms, mfu 0.22%
iter 629: loss 1.7868, time 146.75ms, mfu 0.22%
iter 630: loss 1.7778, time 150.50ms, mfu 0.22%
iter 631: loss 1.8515, time 144.51ms, mfu 0.23%
iter 632: loss 1.7454, time 152.88ms, mfu 0.22%
iter 633: loss 1.8212, time 145.67ms, mfu 0.22%
iter 634: loss 1.7766, time 146.73ms, mfu 0.23%
iter 635: loss 1.7519, time 147.65ms, mfu 0.23%
iter 636: loss 1.7649, time 147.44ms, mfu 0.23%
iter 637: loss 1.7747, time 150.98ms, mfu 0.22%
iter 638: loss 1.7406, time 144.87ms, mfu 0.23%
iter 639: loss 1.7528, time 146.40ms, mfu 0.23%
iter 640: loss 1.7981, time 146.99ms, mfu 0.23%
iter 641: loss 1.7592, time 148.57ms, mfu 0.23%
iter 642: loss 1.7000, time 145.36ms, mfu 0.23%
iter 643: loss 1.7560, time 146.66ms, mfu 0.23%
iter 644: loss 1.7548, time 149.81ms, mfu 0.23%
iter 645: loss 1.7667, time 144.22ms, mfu 0.23%
iter 646: loss 1.7755, time 147.57ms, mfu 0.23%
iter 647: loss 1.7499, time 146.46ms, mfu 0.23%
iter 648: loss 1.7587, time 146.52ms, mfu 0.23%
iter 649: loss 1.7882, time 144.59ms, mfu 0.23%
iter 650: loss 1.7585, time 148.25ms, mfu 0.23%
iter 651: loss 1.7582, time 146.64ms, mfu 0.23%
iter 652: loss 1.7503, time 145.33ms, mfu 0.23%
iter 653: loss 1.7392, time 148.15ms, mfu 0.23%
iter 654: loss 1.7345, time 145.63ms, mfu 0.23%
iter 655: loss 1.8028, time 146.85ms, mfu 0.23%
iter 656: loss 1.7467, time 146.90ms, mfu 0.23%
iter 657: loss 1.7268, time 146.93ms, mfu 0.23%
iter 658: loss 1.7186, time 149.20ms, mfu 0.23%
iter 659: loss 1.6928, time 146.17ms, mfu 0.23%
iter 660: loss 1.7362, time 150.33ms, mfu 0.23%
iter 661: loss 1.7666, time 146.97ms, mfu 0.23%
iter 662: loss 1.7829, time 148.49ms, mfu 0.23%
iter 663: loss 1.7067, time 148.17ms, mfu 0.23%
iter 664: loss 1.7538, time 146.81ms, mfu 0.23%
iter 665: loss 1.7396, time 145.61ms, mfu 0.23%
iter 666: loss 1.7367, time 145.59ms, mfu 0.23%
iter 667: loss 1.7225, time 145.82ms, mfu 0.23%
iter 668: loss 1.7661, time 145.57ms, mfu 0.23%
iter 669: loss 1.7345, time 146.63ms, mfu 0.23%
iter 670: loss 1.7368, time 147.71ms, mfu 0.23%
iter 671: loss 1.7445, time 145.34ms, mfu 0.23%
iter 672: loss 1.7720, time 147.08ms, mfu 0.23%
iter 673: loss 1.7156, time 145.99ms, mfu 0.23%
iter 674: loss 1.7450, time 146.60ms, mfu 0.23%
iter 675: loss 1.7088, time 146.16ms, mfu 0.23%
iter 676: loss 1.7205, time 146.09ms, mfu 0.23%
iter 677: loss 1.7081, time 146.80ms, mfu 0.23%
iter 678: loss 1.7336, time 146.11ms, mfu 0.23%
iter 679: loss 1.7560, time 145.88ms, mfu 0.23%
iter 680: loss 1.7049, time 145.92ms, mfu 0.23%
iter 681: loss 1.7464, time 147.81ms, mfu 0.23%
iter 682: loss 1.7054, time 147.18ms, mfu 0.23%
iter 683: loss 1.7571, time 144.82ms, mfu 0.23%
iter 684: loss 1.7561, time 147.49ms, mfu 0.23%
iter 685: loss 1.7171, time 146.70ms, mfu 0.23%
iter 686: loss 1.7173, time 148.03ms, mfu 0.23%
iter 687: loss 1.7386, time 145.72ms, mfu 0.23%
iter 688: loss 1.7517, time 146.89ms, mfu 0.23%
iter 689: loss 1.6899, time 144.34ms, mfu 0.23%
iter 690: loss 1.7310, time 150.50ms, mfu 0.23%
iter 691: loss 1.7952, time 144.94ms, mfu 0.23%
iter 692: loss 1.6716, time 145.63ms, mfu 0.23%
iter 693: loss 1.7379, time 145.71ms, mfu 0.23%
iter 694: loss 1.6804, time 147.36ms, mfu 0.23%
iter 695: loss 1.6775, time 145.98ms, mfu 0.23%
iter 696: loss 1.6985, time 144.95ms, mfu 0.23%
iter 697: loss 1.6849, time 145.88ms, mfu 0.23%
iter 698: loss 1.6788, time 146.74ms, mfu 0.23%
iter 699: loss 1.7076, time 148.37ms, mfu 0.23%
iter 700: loss 1.6768, time 146.10ms, mfu 0.23%
iter 701: loss 1.6814, time 155.19ms, mfu 0.23%
iter 702: loss 1.6642, time 141.78ms, mfu 0.23%
iter 703: loss 1.7186, time 151.57ms, mfu 0.23%
iter 704: loss 1.7130, time 149.99ms, mfu 0.23%
iter 705: loss 1.6922, time 148.49ms, mfu 0.23%
iter 706: loss 1.6904, time 144.23ms, mfu 0.23%
iter 707: loss 1.7017, time 145.58ms, mfu 0.23%
iter 708: loss 1.6815, time 147.51ms, mfu 0.23%
iter 709: loss 1.7005, time 145.19ms, mfu 0.23%
iter 710: loss 1.7124, time 146.35ms, mfu 0.23%
iter 711: loss 1.6850, time 149.19ms, mfu 0.23%
iter 712: loss 1.7080, time 145.71ms, mfu 0.23%
iter 713: loss 1.6880, time 150.63ms, mfu 0.23%
iter 714: loss 1.7167, time 146.71ms, mfu 0.23%
iter 715: loss 1.6802, time 146.72ms, mfu 0.23%
iter 716: loss 1.6750, time 150.21ms, mfu 0.23%
iter 717: loss 1.7010, time 147.73ms, mfu 0.23%
iter 718: loss 1.6775, time 147.70ms, mfu 0.23%
iter 719: loss 1.6859, time 145.62ms, mfu 0.23%
iter 720: loss 1.6845, time 147.20ms, mfu 0.23%
iter 721: loss 1.6649, time 147.73ms, mfu 0.23%
iter 722: loss 1.7165, time 146.35ms, mfu 0.23%
iter 723: loss 1.7095, time 146.35ms, mfu 0.23%
iter 724: loss 1.6806, time 144.59ms, mfu 0.23%
iter 725: loss 1.6434, time 147.08ms, mfu 0.23%
iter 726: loss 1.6614, time 148.05ms, mfu 0.23%
iter 727: loss 1.6712, time 147.75ms, mfu 0.23%
iter 728: loss 1.6831, time 156.57ms, mfu 0.23%
iter 729: loss 1.7069, time 144.65ms, mfu 0.23%
iter 730: loss 1.6673, time 175.69ms, mfu 0.22%
iter 731: loss 1.6694, time 142.61ms, mfu 0.22%
iter 732: loss 1.6998, time 149.44ms, mfu 0.22%
iter 733: loss 1.6467, time 145.22ms, mfu 0.22%
iter 734: loss 1.6922, time 146.77ms, mfu 0.22%
iter 735: loss 1.6384, time 145.88ms, mfu 0.22%
iter 736: loss 1.6643, time 146.41ms, mfu 0.22%
iter 737: loss 1.6725, time 146.22ms, mfu 0.23%
iter 738: loss 1.6495, time 148.83ms, mfu 0.23%
iter 739: loss 1.6847, time 144.60ms, mfu 0.23%
iter 740: loss 1.6488, time 146.92ms, mfu 0.23%
iter 741: loss 1.6725, time 147.71ms, mfu 0.23%
iter 742: loss 1.6874, time 147.26ms, mfu 0.23%
iter 743: loss 1.6869, time 147.46ms, mfu 0.23%
iter 744: loss 1.6821, time 157.99ms, mfu 0.22%
iter 745: loss 1.6997, time 145.53ms, mfu 0.22%
iter 746: loss 1.6035, time 145.75ms, mfu 0.23%
iter 747: loss 1.6833, time 145.11ms, mfu 0.23%
iter 748: loss 1.7186, time 149.37ms, mfu 0.23%
iter 749: loss 1.6524, time 147.11ms, mfu 0.23%
step 750: train loss 1.6555, val loss 1.8131
step 750: train loss (forward only) 1.6267, val loss (forward only) 1.7859
step 750: train loss (backward only) 2.2506, val loss (backward only) 2.2881
saving checkpoint to out-shakespeare-char
iter 750: loss 1.6218, time 11899.00ms, mfu 0.20%
iter 751: loss 1.6607, time 132.60ms, mfu 0.21%
iter 752: loss 1.6505, time 152.58ms, mfu 0.21%
iter 753: loss 1.6246, time 145.91ms, mfu 0.21%
iter 754: loss 1.6624, time 147.34ms, mfu 0.21%
iter 755: loss 1.6801, time 144.42ms, mfu 0.21%
iter 756: loss 1.6650, time 145.67ms, mfu 0.22%
iter 757: loss 1.7071, time 156.27ms, mfu 0.22%
iter 758: loss 1.6602, time 143.78ms, mfu 0.22%
iter 759: loss 1.6624, time 149.80ms, mfu 0.22%
iter 760: loss 1.6439, time 148.84ms, mfu 0.22%
iter 761: loss 1.6287, time 148.78ms, mfu 0.22%
iter 762: loss 1.6637, time 145.21ms, mfu 0.22%
iter 763: loss 1.6664, time 146.93ms, mfu 0.22%
iter 764: loss 1.6758, time 146.66ms, mfu 0.22%
iter 765: loss 1.6426, time 148.01ms, mfu 0.22%
iter 766: loss 1.6310, time 145.20ms, mfu 0.22%
iter 767: loss 1.6966, time 150.01ms, mfu 0.22%
iter 768: loss 1.6419, time 155.42ms, mfu 0.22%
iter 769: loss 1.6614, time 153.48ms, mfu 0.22%
iter 770: loss 1.6213, time 153.24ms, mfu 0.22%
iter 771: loss 1.6392, time 143.56ms, mfu 0.22%
iter 772: loss 1.6310, time 147.38ms, mfu 0.22%
iter 773: loss 1.6524, time 146.66ms, mfu 0.22%
iter 774: loss 1.6053, time 148.73ms, mfu 0.22%
iter 775: loss 1.6351, time 149.16ms, mfu 0.22%
iter 776: loss 1.6887, time 147.82ms, mfu 0.22%
iter 777: loss 1.6554, time 145.67ms, mfu 0.22%
iter 778: loss 1.6498, time 145.51ms, mfu 0.22%
iter 779: loss 1.6344, time 149.15ms, mfu 0.22%
iter 780: loss 1.6562, time 149.28ms, mfu 0.22%
iter 781: loss 1.6376, time 149.39ms, mfu 0.22%
iter 782: loss 1.6489, time 147.82ms, mfu 0.22%
iter 783: loss 1.6421, time 147.01ms, mfu 0.22%
iter 784: loss 1.6282, time 147.32ms, mfu 0.22%
iter 785: loss 1.6249, time 147.76ms, mfu 0.22%
iter 786: loss 1.6510, time 147.18ms, mfu 0.22%
iter 787: loss 1.6146, time 146.10ms, mfu 0.23%
iter 788: loss 1.5728, time 147.95ms, mfu 0.23%
iter 789: loss 1.5997, time 151.47ms, mfu 0.22%
iter 790: loss 1.6568, time 147.88ms, mfu 0.22%
iter 791: loss 1.6078, time 146.99ms, mfu 0.23%
iter 792: loss 1.6164, time 146.89ms, mfu 0.23%
iter 793: loss 1.6291, time 146.58ms, mfu 0.23%
iter 794: loss 1.6642, time 147.52ms, mfu 0.23%
iter 795: loss 1.6452, time 145.98ms, mfu 0.23%
iter 796: loss 1.6143, time 147.16ms, mfu 0.23%
iter 797: loss 1.6283, time 148.96ms, mfu 0.23%
iter 798: loss 1.6238, time 146.41ms, mfu 0.23%
iter 799: loss 1.6378, time 148.42ms, mfu 0.23%
iter 800: loss 1.6234, time 145.38ms, mfu 0.23%
iter 801: loss 1.6161, time 148.90ms, mfu 0.23%
iter 802: loss 1.6547, time 146.89ms, mfu 0.23%
iter 803: loss 1.6498, time 148.54ms, mfu 0.23%
iter 804: loss 1.6024, time 145.63ms, mfu 0.23%
iter 805: loss 1.6506, time 144.96ms, mfu 0.23%
iter 806: loss 1.5918, time 147.57ms, mfu 0.23%
iter 807: loss 1.6152, time 146.10ms, mfu 0.23%
iter 808: loss 1.6411, time 147.71ms, mfu 0.23%
iter 809: loss 1.6335, time 148.30ms, mfu 0.23%
iter 810: loss 1.5739, time 149.73ms, mfu 0.23%
iter 811: loss 1.5737, time 155.54ms, mfu 0.22%
iter 812: loss 1.6115, time 151.19ms, mfu 0.22%
iter 813: loss 1.5935, time 147.67ms, mfu 0.22%
iter 814: loss 1.6395, time 145.93ms, mfu 0.22%
iter 815: loss 1.5877, time 148.16ms, mfu 0.22%
iter 816: loss 1.6260, time 147.00ms, mfu 0.23%
iter 817: loss 1.6187, time 146.60ms, mfu 0.23%
iter 818: loss 1.6214, time 146.26ms, mfu 0.23%
iter 819: loss 1.6239, time 147.96ms, mfu 0.23%
iter 820: loss 1.6283, time 143.53ms, mfu 0.23%
iter 821: loss 1.6136, time 146.72ms, mfu 0.23%
iter 822: loss 1.6404, time 148.79ms, mfu 0.23%
iter 823: loss 1.6411, time 149.35ms, mfu 0.23%
iter 824: loss 1.5830, time 148.81ms, mfu 0.23%
iter 825: loss 1.5977, time 147.93ms, mfu 0.23%
iter 826: loss 1.6009, time 145.23ms, mfu 0.23%
iter 827: loss 1.6241, time 145.56ms, mfu 0.23%
iter 828: loss 1.6076, time 150.61ms, mfu 0.23%
iter 829: loss 1.5872, time 143.09ms, mfu 0.23%
iter 830: loss 1.6070, time 146.74ms, mfu 0.23%
iter 831: loss 1.6354, time 148.22ms, mfu 0.23%
iter 832: loss 1.5849, time 145.94ms, mfu 0.23%
iter 833: loss 1.6358, time 144.23ms, mfu 0.23%
iter 834: loss 1.6239, time 145.89ms, mfu 0.23%
iter 835: loss 1.6693, time 148.67ms, mfu 0.23%
iter 836: loss 1.6081, time 144.74ms, mfu 0.23%
iter 837: loss 1.5809, time 146.23ms, mfu 0.23%
iter 838: loss 1.6134, time 146.17ms, mfu 0.23%
iter 839: loss 1.6035, time 146.69ms, mfu 0.23%
iter 840: loss 1.6040, time 144.66ms, mfu 0.23%
iter 841: loss 1.5923, time 146.43ms, mfu 0.23%
iter 842: loss 1.6091, time 147.86ms, mfu 0.23%
iter 843: loss 1.5642, time 147.35ms, mfu 0.23%
iter 844: loss 1.6593, time 146.56ms, mfu 0.23%
iter 845: loss 1.6322, time 145.55ms, mfu 0.23%
iter 846: loss 1.5941, time 146.38ms, mfu 0.23%
iter 847: loss 1.5547, time 146.94ms, mfu 0.23%
iter 848: loss 1.5941, time 147.63ms, mfu 0.23%
iter 849: loss 1.5883, time 145.78ms, mfu 0.23%
iter 850: loss 1.5927, time 183.47ms, mfu 0.22%
iter 851: loss 1.6118, time 129.86ms, mfu 0.23%
iter 852: loss 1.5892, time 146.50ms, mfu 0.23%
iter 853: loss 1.5486, time 150.92ms, mfu 0.23%
iter 854: loss 1.5986, time 147.80ms, mfu 0.23%
iter 855: loss 1.5983, time 147.46ms, mfu 0.23%
iter 856: loss 1.5718, time 149.07ms, mfu 0.23%
iter 857: loss 1.6339, time 146.94ms, mfu 0.23%
iter 858: loss 1.6471, time 149.60ms, mfu 0.23%
iter 859: loss 1.5802, time 145.22ms, mfu 0.23%
iter 860: loss 1.5965, time 145.17ms, mfu 0.23%
iter 861: loss 1.5782, time 145.78ms, mfu 0.23%
iter 862: loss 1.5870, time 146.49ms, mfu 0.23%
iter 863: loss 1.6186, time 147.35ms, mfu 0.23%
iter 864: loss 1.6331, time 147.00ms, mfu 0.23%
iter 865: loss 1.5311, time 146.63ms, mfu 0.23%
iter 866: loss 1.6042, time 147.92ms, mfu 0.23%
iter 867: loss 1.6319, time 148.35ms, mfu 0.23%
iter 868: loss 1.5898, time 149.26ms, mfu 0.23%
iter 869: loss 1.5786, time 148.09ms, mfu 0.23%
iter 870: loss 1.6056, time 147.10ms, mfu 0.23%
iter 871: loss 1.5180, time 145.41ms, mfu 0.23%
iter 872: loss 1.6030, time 146.37ms, mfu 0.23%
iter 873: loss 1.5350, time 146.94ms, mfu 0.23%
iter 874: loss 1.5987, time 145.97ms, mfu 0.23%
iter 875: loss 1.6029, time 148.15ms, mfu 0.23%
iter 876: loss 1.5213, time 145.85ms, mfu 0.23%
iter 877: loss 1.5912, time 146.30ms, mfu 0.23%
iter 878: loss 1.5687, time 150.25ms, mfu 0.23%
iter 879: loss 1.5656, time 144.53ms, mfu 0.23%
iter 880: loss 1.5812, time 146.65ms, mfu 0.23%
iter 881: loss 1.5800, time 145.85ms, mfu 0.23%
iter 882: loss 1.5846, time 148.40ms, mfu 0.23%
iter 883: loss 1.5452, time 146.63ms, mfu 0.23%
iter 884: loss 1.5782, time 144.61ms, mfu 0.23%
iter 885: loss 1.5740, time 146.99ms, mfu 0.23%
iter 886: loss 1.5583, time 146.78ms, mfu 0.23%
iter 887: loss 1.5797, time 145.27ms, mfu 0.23%
iter 888: loss 1.6258, time 145.91ms, mfu 0.23%
iter 889: loss 1.5884, time 148.32ms, mfu 0.23%
iter 890: loss 1.5859, time 145.44ms, mfu 0.23%
iter 891: loss 1.5575, time 145.75ms, mfu 0.23%
iter 892: loss 1.5986, time 148.35ms, mfu 0.23%
iter 893: loss 1.5874, time 146.04ms, mfu 0.23%
iter 894: loss 1.5828, time 149.12ms, mfu 0.23%
iter 895: loss 1.5469, time 145.04ms, mfu 0.23%
iter 896: loss 1.5916, time 148.65ms, mfu 0.23%
iter 897: loss 1.5290, time 145.81ms, mfu 0.23%
iter 898: loss 1.6363, time 147.66ms, mfu 0.23%
iter 899: loss 1.5847, time 147.71ms, mfu 0.23%
iter 900: loss 1.5901, time 145.50ms, mfu 0.23%
iter 901: loss 1.6187, time 145.71ms, mfu 0.23%
iter 902: loss 1.6100, time 145.48ms, mfu 0.23%
iter 903: loss 1.5389, time 150.29ms, mfu 0.23%
iter 904: loss 1.6131, time 144.93ms, mfu 0.23%
iter 905: loss 1.6024, time 145.61ms, mfu 0.23%
iter 906: loss 1.5359, time 147.96ms, mfu 0.23%
iter 907: loss 1.5649, time 145.45ms, mfu 0.23%
iter 908: loss 1.5447, time 146.97ms, mfu 0.23%
iter 909: loss 1.5613, time 148.01ms, mfu 0.23%
iter 910: loss 1.5959, time 150.25ms, mfu 0.23%
iter 911: loss 1.6094, time 149.17ms, mfu 0.23%
iter 912: loss 1.5617, time 145.68ms, mfu 0.23%
